X,Y,id_plano_b,numfistel,nomefase,siglauf,nomemunici,nomeentida,numservico,codcanal,medlatitud,medlongitu,mederpmax,classe,metadado,icon_url
-43.2372222222222,-22.9513888888889,"79155376","01030101655",Licenciada,RJ,Rio de Janeiro,TV O DIA S/A,"167","59",-22.9513888888888892836348532000557,-43.2372222222222220011644822079688,100.0000000000000000000000000000000,E,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=21&currTab=simple"" target=""_blank"">Acessar</a>",./0.png
-49.2911111111111,-25.4116666666667,"79155429","05030339876",Licenciada,PR,Curitiba,TELEVISÃO TRANSAMÉRICA LTDA.,"167","59",-25.4116666666666652929507108638063,-49.2911111111111139848617312964052,8.0000000000000000000000000000000,A,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=21&currTab=simple"" target=""_blank"">Acessar</a>",./0.png
-43.2372222222222,-22.9513888888889,"79155939","50417090765",Outorgada,RJ,Rio de Janeiro,RIO METRO TVA LTDA,"167","36",-22.9513888888888892836348532000557,-43.2372222222222220011644822079688,80.0000000000000000000000000000000,E,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=21&currTab=simple"" target=""_blank"">Acessar</a>",./0.png
-51.1830555555556,-30.0791666666667,"79156311","03030158616",Licenciada,RS,Porto Alegre,RBS-EMPRESA DE TVA LTDA,"167","36",-30.0791666666666657192763523198664,-51.1830555555555548608026583679020,1000.0000000000000000000000000000000,E,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=21&currTab=simple"" target=""_blank"">Acessar</a>",./0.png
-46.6497222222222,-23.5675,"79156448","50417090846",Outorgada,SP,São Paulo,PAULISTA METRO-TVA LTDA,"167","19",-23.5674999999999990052401699358597,-46.6497222222222234222499537281692,80.0000000000000000000000000000000,E,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=21&currTab=simple"" target=""_blank"">Acessar</a>",./0.png
-40.3425,-20.3083333333333,"79156644","24000003950",Licenciada,ES,Vitória,TV 2000 LTDA,"167","18",-20.3083333333333335701809119200334,-40.3425000000000011368683772161603,160.0000000000000000000000000000000,A,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=21&currTab=simple"" target=""_blank"">Acessar</a>",./0.png
-38.5188888888889,-3.73888888888889,"79156684","10030035910",Licenciada,CE,Fortaleza,RAIMUNDO ANSELMO LIMA MORORÓ E CIA LTDA.,"167","54",-3.7388888888888889283634853200056,-38.5188888888888882888750231359154,160.0000000000000000000000000000000,E,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=21&currTab=simple"" target=""_blank"">Acessar</a>",./0.png
-47.8536111111111,-15.6919444444444,"79157375","11030035008",Licenciada,DF,Brasília,RBC-REDE BRASILIENSE DE COMUNICAÇÃO S/S,"167","51",-15.6919444444444451391973416320980,-47.8536111111111139848617312964052,8.0000000000000000000000000000000,A,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=21&currTab=simple"" target=""_blank"">Acessar</a>",./0.png
-43.9297777777778,-19.9710277777778,"79157743","04030147941",Licenciada,MG,Belo Horizonte,RÁDIO ITATIAIA LTDA.,"167","32",-19.9710277777777776009315857663751,-43.9297777777777795904512458946556,16.0000000000000000000000000000000,E,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=21&currTab=simple"" target=""_blank"">Acessar</a>",./0.png
-47.8297222222222,-15.6991666666667,"79158060","11030035180",Licenciada,DF,Brasília,MCI TV DO BRASIL LTDA - EPP,"167","14",-15.6991666666666667140361823840067,-47.8297222222222231380328594241291,8.0000000000000000000000000000000,A,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=21&currTab=simple"" target=""_blank"">Acessar</a>",./0.png
